,0
temp_vsorres,-4.85902663385025e-15
hr_vsorres,6.986230584504023e-16
rr_vsorres,-4.500813179823183e-16
sysbp_vsorres,-4.714459375067955e-16
admission_diabp_vsorres,7.477616833566997e-17
chrincard,6.500185490322168e-16
chronicpul_mhyn,-1.8503540893157573e-15
asthma_mhyn,-8.880560182340996e-16
renal_mhyn,-6.9691388888844415e-15
modliv,3.647296629820322e-15
malignantneo_mhyn,1.841630203009929e-15
obesity_mhyn,-1.7753998824840499e-15
dementia_mhyn,-1.0397448168578873e-15
infect_cmtrt,2.052783859310178e-15
daily_lymp_lborres,-4.881815561343025e-16
daily_neutro_lborres,-3.582134540270666e-16
daily_plt_lborres,-1.0895955957483339e-16
daily_bun_lborres,2.8201297772309817e-16
daily_creat_lborres,1.6272718537810086e-16
daily_crp_lborres,-2.3785943070584546e-16
onset2admission,5.397237007371036e-16
age,-4.272923904895427e-16
immunosuppressed_yn,2.677698980401134e-15
sfr,-7.691263028811769e-17
diabetes,-9.76363112268605e-16
Aboriginal/First Nations,2.23527331774842e-15
Arab,2.7800711156225874e-16
Black,-5.0919009866670504e-15
East Asian,2.0488670123973572e-15
Latin American,-1.4599156675059376e-15
Other,1.2220562368000921e-14
South Asian,-5.287031178323942e-15
West Asian,1.529706757952563e-15
White,-9.55710646728277e-16
